Año,Provincia,Partido,Votos
2018,PUNTARENAS,LIBERACIÓN NACIONAL,31280
2018,PUNTARENAS,MOVIMIENTO LIBERTARIO,1805
2018,PUNTARENAS,REPUBLICANO SOCIAL CRISTIANO,8202
2018,PUNTARENAS,RESTAURACIÓN NACIONAL,60096
2018,PUNTARENAS,UNIDAD SOCIAL CRISTIANA,23067
2018,LIMÓN,ACCIÓN CIUDADANA,16050
2018,LIMÓN,INTEGRACIÓN NACIONAL,15810
2018,LIMÓN,LIBERACIÓN NACIONAL,26684
2018,LIMÓN,MOVIMIENTO LIBERTARIO,1963
2018,LIMÓN,REPUBLICANO SOCIAL CRISTIANO,6978
2018,LIMÓN,RESTAURACIÓN NACIONAL,64710
2018,LIMÓN,UNIDAD SOCIAL CRISTIANA,14041
2022,SAN JOSÉ,FRENTE AMPLIO,70803
2022,SAN JOSÉ,LIBERACIÓN NACIONAL,203483
2022,SAN JOSÉ,LIBERAL PROGRESISTA,113850
2022,SAN JOSÉ,NUEVA REPÚBLICA,90879
2022,SAN JOSÉ,PROGRESO SOCIAL DEMOCRÁTICO,116052
2022,SAN JOSÉ,UNIDAD SOCIAL CRISTIANA,80925
2022,ALAJUELA,FRENTE AMPLIO,30530
2022,ALAJUELA,LIBERACIÓN NACIONAL,114762
2022,ALAJUELA,LIBERAL PROGRESISTA,47042
2022,ALAJUELA,NUEVA REPÚBLICA,61784
2022,ALAJUELA,PROGRESO SOCIAL DEMOCRÁTICO,92449
2022,ALAJUELA,UNIDAD SOCIAL CRISTIANA,46047
2022,CARTAGO,FRENTE AMPLIO,27327
2022,CARTAGO,LIBERACIÓN NACIONAL,80684
2022,CARTAGO,LIBERAL PROGRESISTA,36895
2022,CARTAGO,NUEVA REPÚBLICA,23963
2022,CARTAGO,PROGRESO SOCIAL DEMOCRÁTICO,36748
2022,CARTAGO,UNIDAD SOCIAL CRISTIANA,41196
2022,HEREDIA,FRENTE AMPLIO,24002
2022,HEREDIA,LIBERACIÓN NACIONAL,61618
2022,HEREDIA,LIBERAL PROGRESISTA,40126
2022,HEREDIA,NUEVA REPÚBLICA,26196
2022,HEREDIA,PROGRESO SOCIAL DEMOCRÁTICO,38982
2022,HEREDIA,UNIDAD SOCIAL CRISTIANA,26618
2022,GUANACASTE,FRENTE AMPLIO,8202
2022,GUANACASTE,LIBERACIÓN NACIONAL,37923
2022,GUANACASTE,LIBERAL PROGRESISTA,7934
2022,GUANACASTE,NUEVA REPÚBLICA,23392
2022,GUANACASTE,PROGRESO SOCIAL DEMOCRÁTICO,22406
2022,GUANACASTE,UNIDAD SOCIAL CRISTIANA,21907
2022,PUNTARENAS,FRENTE AMPLIO,10887
2022,PUNTARENAS,LIBERACIÓN NACIONAL,40513
2022,PUNTARENAS,LIBERAL PROGRESISTA,6419
2022,PUNTARENAS,NUEVA REPÚBLICA,41072
2022,PUNTARENAS,PROGRESO SOCIAL DEMOCRÁTICO,26506
2022,PUNTARENAS,UNIDAD SOCIAL CRISTIANA,21710
2022,LIMÓN,FRENTE AMPLIO,9978
2022,LIMÓN,LIBERACIÓN NACIONAL,30901
2022,LIMÓN,LIBERAL PROGRESISTA,6202
2022,LIMÓN,NUEVA REPÚBLICA,43953
2022,LIMÓN,PROGRESO SOCIAL DEMOCRÁTICO,17377
2022,LIMÓN,UNIDAD SOCIAL CRISTIANA,20799
2026,SAN JOSÉ,PUEBLO SOBERANO,343221
2026,SAN JOSÉ,LIBERACIÓN NACIONAL,315226
2026,SAN JOSÉ,COALICIÓN AGENDA CIUDADANA,48071
2026,SAN JOSÉ,FRENTE AMPLIO,36351
2026,SAN JOSÉ,UNIDAD SOCIAL CRISTIANA,24919
2026,SAN JOSÉ,NUEVA REPÚBLICA,17094
2026,SAN JOSÉ,AVANZA,16266
2026,ALAJUELA,PUEBLO SOBERANO,274568
2026,ALAJUELA,LIBERACIÓN NACIONAL,151608
